participant,session,code,time,baseline,baseline type,ROI,power
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_ec,"left central, occipital parietal",0.10388796032372853
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_ec,"right central, occipital parietal",0.11201651187747803
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_ec,left hemisphere,0.10796412727310782
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_ec,right hemisphere,0.12188871697066814
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_eo,"left central, occipital parietal",0.08060486131428282
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_eo,"right central, occipital parietal",0.06044825750849127
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_eo,left hemisphere,0.07545928996855143
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_eo,right hemisphere,0.05632470872481582
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_ec,"left central, occipital parietal",0.047897139218372936
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_ec,"right central, occipital parietal",0.028312898652717845
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_ec,left hemisphere,0.04931812316049995
6.0,1.0,m_06_01,2023-07-24 11:22:39,1,baseline_ec,right hemisphere,0.03185859659750111
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_eo,"left central, occipital parietal",0.007441928912322271
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_eo,"right central, occipital parietal",0.03133313792272667
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_eo,left hemisphere,0.006005613484434062
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_eo,right hemisphere,0.03365954152519695
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_ec,"left central, occipital parietal",0.058005458195435865
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_ec,"right central, occipital parietal",0.13270922588541867
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_ec,left hemisphere,0.07747696087848058
6.0,2.0,m_06_02,2023-07-24 10:51:15,1,baseline_ec,right hemisphere,0.1528295942840487
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_eo,"left central, occipital parietal",0.10704624106865435
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_eo,"right central, occipital parietal",0.11611421764245375
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_eo,left hemisphere,0.11624015991003149
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_eo,right hemisphere,0.12359388141953077
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_ec,"left central, occipital parietal",0.01666022783167425
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_ec,"right central, occipital parietal",0.029639664196179583
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_ec,left hemisphere,0.020028210717719885
7.0,2.0,m_07_02,2023-07-24 14:51:00,1,baseline_ec,right hemisphere,0.029126776635992176
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_eo,"left central, occipital parietal",0.04957625358818679
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_eo,"right central, occipital parietal",0.04029220014791692
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_eo,left hemisphere,0.04606167700232312
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_eo,right hemisphere,0.032512610960421226
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_ec,"left central, occipital parietal",0.11994081952343556
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_ec,"right central, occipital parietal",0.10529718475210248
7.0,1.0,m_07_01,2023-07-24 14:38:45,1,baseline_ec,left hemisphere,0.1231328256607018
